ID,Nome,Sexo,Cargo,Turno_Atribuido,Carga_Horaria_Semanal,Regime_12x36,Tipo_Jornada_Base
ENF-01,Ana Paula Silva (Sênior),Feminino,Enfermeiro,Diurno,36h,Não,6h (M/T)
ENF-02,Beatriz Oliveira,Feminino,Enfermeiro,Diurno,36h,Não,12h (D)
ENF-03,Carlos Eduardo Lima,Masculino,Enfermeiro,Diurno,40h,Não,12h (D)
ENF-04,Daniela Martins,Feminino,Enfermeiro,Diurno,36h,Não,12h (D)
ENF-05,Eduardo Rocha,Masculino,Enfermeiro,Diurno,40h,Não,12h (D)
ENF-06,Fernanda Alves,Feminino,Enfermeiro,Diurno,36h,Não,12h (D)
ENF-07,Gabriel Santos,Masculino,Enfermeiro,Diurno,40h,Não,12h (D)
ENF-08,Helena Costa,Feminino,Enfermeiro,Diurno,36h,Não,12h (D)
ENF-09,Igor Ribeiro,Masculino,Enfermeiro,Diurno,36h,Não,12h (D)
ENF-10,Juliana Lima,Feminino,Enfermeiro,Diurno,40h,Não,12h (D)
ENF-11,Kátia Mendes,Feminino,Enfermeiro,Diurno,36h,Não,12h (D)
ENF-12,Lucas Pereira,Masculino,Enfermeiro,Diurno,40h,Não,12h (D)
ENF-13,Marcelo Silva,Masculino,Enfermeiro,Noturno,36h,Sim,12h (N)
ENF-14,Nádia Ferreira,Feminino,Enfermeiro,Noturno,36h,Sim,12h (N)
ENF-15,Otávio Barbosa,Masculino,Enfermeiro,Noturno,40h,Sim,12h (N)
ENF-16,Patricia Gomes,Feminino,Enfermeiro,Noturno,36h,Sim,12h (N)
ENF-17,Renato Cardoso,Masculino,Enfermeiro,Noturno,36h,Sim,12h (N)
ENF-18,Simone Duarte,Feminino,Enfermeiro,Noturno,40h,Sim,12h (N)
ENF-19,Thiago Moraes,Masculino,Enfermeiro,Noturno,36h,Sim,12h (N)
ENF-20,Vanessa Castro,Feminino,Enfermeiro,Noturno,40h,Sim,12h (N)
TEC-01,Aline Souza (Sênior),Feminino,Técnico de Enfermagem,Diurno,36h,Não,6h (M/T)
TEC-02,Bruno Carrijo,Masculino,Técnico de Enfermagem,Diurno,36h,Não,12h (D)
TEC-03,Camila Rodrigues,Feminino,Técnico de Enfermagem,Diurno,36h,Não,12h (D)
TEC-04,Diego Fernandes,Masculino,Técnico de Enfermagem,Diurno,40h,Não,12h (D)
TEC-05,Eliana Machado,Feminino,Técnico de Enfermagem,Diurno,40h,Não,12h (D)
TEC-06,Fabio Henrique,Masculino,Técnico de Enfermagem,Diurno,36h,Não,12h (D)
TEC-07,Gisele Prado,Feminino,Técnico de Enfermagem,Diurno,36h,Não,12h (D)
TEC-08,Heitor Vasconcelos,Masculino,Técnico de Enfermagem,Diurno,40h,Não,12h (D)
TEC-09,Isabela Faria,Feminino,Técnico de Enfermagem,Diurno,40h,Não,12h (D)
TEC-10,João Vitor Cruz,Masculino,Técnico de Enfermagem,Diurno,40h,Não,12h (D)
TEC-11,Karen Stephanie,Feminino,Técnico de Enfermagem,Diurno,36h,Não,12h (D)
TEC-12,Leonardo Nogueira,Masculino,Técnico de Enfermagem,Diurno,36h,Não,12h (D)
TEC-13,Mariana Freitas,Feminino,Técnico de Enfermagem,Diurno,40h,Não,12h (D)
TEC-14,Natália Guimarães,Feminino,Técnico de Enfermagem,Diurno,36h,Não,12h (D)
TEC-15,Orlando Ramos,Masculino,Técnico de Enfermagem,Noturno,36h,Sim,12h (N)
TEC-16,Paula Tejada,Feminino,Técnico de Enfermagem,Noturno,36h,Sim,12h (N)
TEC-17,Quintino Bocaiúva,Masculino,Técnico de Enfermagem,Noturno,36h,Sim,12h (N)
TEC-18,Raquel Xavier,Feminino,Técnico de Enfermagem,Noturno,36h,Sim,12h (N)
TEC-19,Samuel Rosa,Masculino,Técnico de Enfermagem,Noturno,36h,Sim,12h (N)
TEC-20,Tatiana Valente,Feminino,Técnico de Enfermagem,Noturno,40h,Sim,12h (N)
